Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,1992,1992,ha,1102000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,1993,1993,ha,1115000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,1994,1994,ha,1267000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,1995,1995,ha,1033000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,1996,1996,ha,935000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,1997,1997,ha,885000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,1998,1998,ha,839000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,1999,1999,ha,811000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2000,2000,ha,736000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2001,2001,ha,755000.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2002,2002,ha,675100.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2003,2003,ha,630922.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2004,2004,ha,620830.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2005,2005,ha,607031.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2006,2006,ha,680414.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2007,2007,ha,671281.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2008,2008,ha,612641.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2009,2009,ha,603688.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2010,2010,ha,679959.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2011,2011,ha,670083.0,A,
57,'112,Belarus,44,'0115,Barley,5312,Area harvested,2012,2012,ha,556949.0,A,
