scope,metric,n,pearson,p,spearman
RUS_wheat,SPEI-6 (вег.),31,0.32,0.084,0.35
RUS_wheat,SPEI-12 (вег.),31,0.36,0.047,0.35
RUS_wheat,SPI-6 (вег.),31,0.16,0.389,0.27
RUS_wheat,Темп. лета (z),31,0.19,0.295,0.11
RUS_wheat,Осадки лета (z),31,0.11,0.563,0.23
RUS_wheat,ONI (лето),31,0.25,0.173,0.28
Panel_wheat_FE,SPEI-6 (вег.),186,0.42,0.0,0.43
Panel_wheat_FE,SPEI-12 (вег.),186,0.39,0.0,0.37
Panel_wheat_FE,SPI-6 (вег.),186,0.33,0.0,0.38
Panel_wheat_FE,Темп. лета (z),186,0.38,0.0,0.31
Panel_wheat_FE,Осадки лета (z),186,0.28,0.0001,0.32
Panel_wheat_FE,ONI (лето),186,0.2,0.0062,0.23
